,序号,企业名称,经营状态,法定代表人,注册资本,注册资本币种,成立日期,核准日期,所属省,所属市,所属区/县,统一社会信用代码,联系电话,邮箱,参保人,企业性质,组织形式,国标行业门类,国标行业大类,国标行业中类,国标行业小类,网址,注册地址,通信地址,是否发行债券,经营范围
10,11.0,碧桂园地产集团有限公司,在营,简暖棠,153.2亿,人民币,2015-04-20,2023-10-18,广东省,佛山市,顺德区,91440606338202486K,0757-29917057,-,2,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.bgy.com.cn,佛山市顺德区北滘镇碧桂园大道1号碧桂园中心七楼705室,中国广东省佛山市顺德区北滘镇碧桂园大道1号碧桂园中心,曾有债券发行,房地产开发及销售、物业租赁、房地产投资咨询、房地产经营管理咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）(依法须经批准的项目，经相关部门批准后方可开展经营活动)
11,12.0,杭州领长置业有限公司,在营,钱取娣,"5,000万",人民币,2014-11-04,2023-03-10,浙江省,杭州市,萧山区,91330109322908222J,-,-,10,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,浙江省杭州市萧山区萧山经济技术开发区建设四路380号领航城8幢826室,-,曾有债券发行,许可项目：房地产开发经营；建设工程施工；住宅室内装饰装修(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：非居住房地产租赁；物业管理；园林绿化工程施工；建筑材料销售；专业设计服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。
12,13.0,中山市腾隆房地产开发有限公司,在营,梁炬堂,"3,600万",人民币,2013-11-14,2018-08-21,广东省,中山市,-,91442000082609230K,0760-22388866,295450161@qq.com,2,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,中山市横栏镇景帝路4号恒东时代花园20卡,-,曾有债券发行,房地产开发、物业管理（法律、行政法规、国务院决定规定须经批准的经营项目，凭批准文件、证件经营）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓
13,14.0,泰兴市明源房地产开发有限公司,在营,刁娜丽,"1,000万",美元,2013-10-25,2022-07-21,江苏省,泰州市,泰兴市,91321283081502132Y,15380719568,changetobe@qq.com,0,港澳台企业,有限责任公司,房地产业,房地产业,-,-,-,泰兴市黄桥镇佳源广场1幢401室,-,曾有债券发行,许可项目：房地产开发经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
14,15.0,广东多丰投资发展有限公司,在营,麦泽年,"1,000万",人民币,2013-09-05,2023-04-23,广东省,佛山市,顺德区,91440606077888079X,0757-26607853,251848283@qq.com,0,民营企业,有限责任公司,房地产业,房地产业,-,-,-,广东省佛山市顺德区北滘镇君兰社区诚德路1号美的财富广场4栋2809室（住所申报）,-,曾有债券发行,房地产开发与经营；对房地产业的投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）〓（依法须经批准的项目，经相关部门批准后方可开展经营活动）〓
15,16.0,佛山市粤海通房地产有限公司,在营,林作万,"3,000万",人民币,2013-03-01,2019-06-14,广东省,佛山市,南海区,914406050621168694,0757-81168189,lql@yhtfdc.com,19,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,佛山市南海区狮山镇博爱中路68号长华国际商业中心10栋二层196商铺（住所申报）,-,曾有债券发行,房地产开发，房地产投资，房地产中介，物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）〓
16,17.0,东方安颐(北京)城镇发展投资有限公司,在营,景海红,49亿,人民币,2012-12-31,2023-12-01,北京市,-,丰台区,91110000059210475T,010-83858958,gkdf2020@163.com,35,民营企业,-,房地产业,房地产业,房地产开发经营,房地产开发经营,www.cdb-orient.com,北京市丰台区王佐镇泉湖西路13号院3号楼3-2-1,北京市丰台区王佐镇青龙湖公园龙湖山庄办公楼二层,曾有债券发行,房地产开发；项目投资；资产管理。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益。”领取本执照后，应到住房城乡建设委取得行政许可。市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
17,18.0,福州三盛置业有限公司,在营,林荣滨,50亿,人民币,2012-12-18,2021-01-04,福建省,福州市,仓山区,91350100060355372Y,13696854515,-,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,福建省福州市仓山区南江滨西大道96号港头广场1号楼23层06办公,-,曾有债券发行,房地产开发与经营；物业管理；对林业、建筑业、房地产业、服务业、工业、商业的投资；园林绿化工程、室外装饰工程、幕墙工程、楼宇智能化工程的设计与施工；建筑材料、机械设备、电子产品、化工原料（不含危险化学品及易制毒化学品）、橡胶及塑料制品的批发、代购代销。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
18,19.0,上海世茂佘山汇盈置业有限公司,在营,陈莹,8.6亿,人民币,2012-09-14,2022-03-28,上海市,-,松江区,91310117054556987Q,021-37028516,ying_xiong11@shimaogroup.com,11,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,上海市松江区佘山镇陶干路701号5幢,-,曾有债券发行,许可项目：房地产开发经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：住房租赁；非居住房地产租赁；物业管理；停车场服务；信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
19,20.0,积水置业(无锡)有限公司,注销,濑户洋信（SETO HIRONOBU）,2.65亿,美元,2012-02-23,2022-10-31,江苏省,无锡市,新吴区,913200005900010456,-,wx01.yj.liu@sekisuihouse-cn.com,14,外资企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,江苏省无锡市新吴区菱湖大道1号裕沁湖畔庭79-219室,-,曾有债券发行,房地产的开发与经营；房屋的出租（不含国家限制、禁止类项目）；建筑及室内装修、装饰的咨询服务；从事建筑部品及家具装修材料的批发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
20,21.0,北京路劲隽御房地产开发有限公司,在营,刁露,43.85亿,人民币,2011-01-30,2020-04-17,北京市,-,昌平区,91110000569539182L,010-64136000,customer@rkph.com,42,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.rkph.com.cn,北京市昌平区双营西路78号院2号楼3层301,北京市朝阳区三里屯西六街6号乾坤大厦C区5层,曾有债券发行,房地产开发（不含土地成片开发；高档宾馆、别墅、高档写字楼和国际会议中心的建设、经营；大型主题公园的建设、经营）；销售自行开发后的商品房；出租商业用房；出租办公用房。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
21,22.0,北京居业房地产咨询有限公司,在营,林茂祺,607万,人民币,2011-01-12,2024-01-31,北京市,-,朝阳区,911101055674259741,010-85959599,jtzcb@radiance.com.cn,142,民营企业,-,房地产业,房地产业,房地产中介服务,房地产中介服务,-,北京市朝阳区望京东园四区6号楼37层3701号01,-,曾有债券发行,房地产信息咨询（不含中介）；投资咨询；经济贸易咨询；工程项目管理；工程技术咨询；工程造价咨询；企业策划；设计、制作、代理、发布广告；物业管理；企业管理；技术进出口；销售建材。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
22,23.0,国测地理信息科技产业园集团有限公司,在营,何波,4亿,人民币,2010-12-17,2023-06-09,北京市,-,顺义区,91110000567496713C,010-57939500,guoce@guoce.com.cn,118,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,北京市顺义区国门商务区机场东路2号1层2020室,-,曾有债券发行,房地产开发；技术开发；技术咨询；技术转让；技术服务；计算机技术培训；投资及资产管理；投资管理；企业管理；经济信息咨询；专业承包；销售日用品、建筑材料、汽车。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
23,24.0,隆基泰和置业有限公司,在营,魏少军,13.71亿,人民币,2010-08-10,2021-11-09,河北省,保定市,竞秀区,91130600560457922R,0312-5591888,-,8,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.ljthproperty.com,保定市和顺路77号万和城A区,-,曾有债券发行,房地产开发经营。自有房屋租赁，市政工程、水电工程施工，城镇、园区基础设施建设与管理，土地整理，市场管理服务，停车服务，展览展示服务，市场营销策划服务，国内旅游服务，文化、艺术咨询服务，组织文化、艺术交流活动，企业管理咨询。品牌管理。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
24,25.0,深圳市卓越商业管理有限公司,在营,李华,30亿,人民币,2010-07-01,2023-04-11,广东省,深圳市,福田区,91440300558656420D,82912388,wangting03@excegroup.com,-,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,深圳市福田区金田路皇岗商务中心1号楼6501,广东省深圳市福田区金田路皇岗商务中心1号楼6501,曾有债券发行,一般经营项目是：商业管理与商业管理顾问；清洁服务（不含外墙清洁）；经济信息咨询；日用百货、纺织品、服装、家用电器、电子产品、文化用品、体育用品及器材、仪器仪表、建材、化工产品（不含危险化学品）、机械设备、五金、家具、文艺美术品、金银珠宝首饰的销售，国内贸易。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
25,26.0,泛海物业管理武汉有限公司,在营,郑翼龙,"1,000万",人民币,2010-05-14,2020-11-10,湖北省,武汉市,江汉区,9142010055501107XX,027-83871999,whyinghy@fhwy.com.cn,679,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,武汉市江汉区云彩路198号泛海城市广场写字楼8层,-,曾有债券发行,物业管理；机电设备维修；电梯、扶梯、日用百货、五金、家用电器的销售；园林绿化服务；停车服务；房屋中介服务；会务会展服务；汽车美容保洁服务；室内游泳池经营；冷热饮品销售；体育场馆设施管理、租赁、健身服务、文化艺术交流活动组织与策划、体育用品、服装鞋帽的批发兼零售；体育赛事活动组织与策划、咨询；人力资源服务（不含职业中介活动）；劳务派遣服务。（涉及许可经营项目，应取得相关部门许可后方可经营）
26,27.0,国购投资有限公司,在营,袁启宏,2.5亿,人民币,2010-05-11,2014-12-12,安徽省,合肥市,蜀山区,913401005545806760,65378882,1368323972@qq.com,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.goocoo.com,安徽省合肥市蜀山区肥西路66号汇金大厦,安徽省合肥市蜀山区肥西路66号汇金大厦26层,曾有债券发行,房地产项目投资；风险投资；科技项目投资、高新技术投资；基础建设投资；实业投资；企业收购、兼并及资产重组；企业管理咨询服务。
27,28.0,华侨城(上海)置地有限公司,在营,杨胜东,30.3亿,人民币,2010-03-01,2023-02-16,上海市,-,静安区,913100005515334446,021-66085858,-,77,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,上海市静安区山西北路108弄11号201室,-,曾有债券发行,在上海市闸北区1街坊及41、42街坊地块上从事商业、办公、文化娱乐、住宅项目的开发、经营、出租租赁、物业管理，以及配套停车场（库）的经营管理，（以下限在分支机构内凭证经营）酒店经营（客房）、会务服务、商务中心、洗衣服务、附设卖品部、餐饮、酒吧、健身中心、美容美发中心，烟草制品零售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
28,29.0,上海宝龙实业发展(集团)有限公司,在营,洪群峰,41.84亿,人民币,2010-02-22,2023-09-07,上海市,-,闵行区,91310000550074354L,021-51759999,zhangzd@powerlong.com,340,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.ipowerlong.com,上海市闵行区七莘路1855号第1幢4层02室,上海市闵行区新镇路1399号宝龙大厦8楼,曾有债券发行,受母公司委托，为母公司及其所投资企业或关联企业提供投资经营决策、市场营销服务、资金运作与财务管理、技术支持和研究开发、信息技术服务、员工培训和管理、承接母公司集团内部的共享服务及境外公司的服务外包；建筑材料、装修材料、机械设备、五金交电、电子产品的进出口、批发、佣金代理（拍卖除外）（以上商品不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
29,30.0,上海长峰(集团)有限公司,在营,童锦泉,10亿,人民币,2009-12-01,2022-12-05,上海市,-,长宁区,9131000069876874X4,021-61155522,-,0,民营企业,有限责任公司,房地产业,房地产业,房地产租赁经营,房地产租赁经营,www.summitpdc.com,上海市长宁区长宁路1018号2718室,上海市长宁区长宁路1018号2718室,曾有债券发行,一般项目：以自有资金从事投资活动；酒店管理；物业管理；信息咨询服务（不含许可类信息咨询服务）；会议及展览服务；货物进出口；技术进出口；信息技术咨询服务；专用设备修理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
30,31.0,北京望京搜候房地产有限公司,在营,潘石屹,"9,900万",美元,2009-12-01,2018-05-14,北京市,-,朝阳区,91110000693202691R,010-58788252,zhuenlei@sohochina.com,73,港澳台企业,有限责任公司,房地产业,房地产业,房地产租赁经营,房地产租赁经营,-,北京市朝阳区望京西园425号楼308室,北京市朝阳区望京西园425号楼308室,曾有债券发行,在朝阳区望京B29商业金融项目用地范围内从事房地产开发建设、商品房的出售、出租及物业管理（不含高档宾馆、别墅、高档写字楼的建设、经营）；房地产信息咨询。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
31,32.0,上海中梁地产集团有限公司,在营,姚伟华,100亿,人民币,2009-07-14,2023-12-11,上海市,-,普陀区,91310000691603870J,021-52036333,zldc@zldcgroup.com,176,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.zldcgroup.com,上海市普陀区云岭东路235号10楼1002室,-,曾有债券发行,许可项目：房地产开发经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：企业管理咨询；信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
32,33.0,石榴置业集团有限公司,在营,崔巍,15.45亿,人民币,2008-12-04,2023-11-14,北京市,-,丰台区,911100006828521893,18600686787,771770444@qq.com,103,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.16anar.com,北京市丰台区榴乡路88号院18号楼8层801-49,北京市丰台区榴乡路88号院18号楼8层801-49,曾有债券发行,物业管理；建设工程项目管理；销售食品；房地产开发；销售自行开发的商品房；出租办公用房；出租商业用房；房地产信息咨询；企业管理；计算机系统服务；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；基础软件服务；应用软件服务；技术推广；销售建筑材料、五金交电、机械设备、日用品、文化用品、工艺品。（市场主体依法自主选择经营项目，开展经营活动；销售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
33,34.0,上海朗诗工程设计咨询有限公司,在营,夏中国,"5,000万",人民币,2008-09-26,2024-01-16,上海市,-,浦东新区,913100006809599355,021-65961111,-,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,中国（上海）自由贸易试验区浦东大道2123号3C－1052室,-,曾有债券发行,许可项目：建设工程设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：企业管理咨询，企业管理，信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
34,35.0,和昌物业服务集团有限公司,在营,邹斌,1亿,人民币,2008-06-25,2023-04-26,河南省,郑州市,惠济区,91410108676725458D,0371-55686811,hcwy@hechangre.com,324,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,郑州市惠济区农业路南天明路西怡丰新都汇3号楼-层西,-,曾有债券发行,物业管理；酒店管理；房屋租赁及销售；停车管理服务；销售：日用品、办公用品、装饰材料（油漆、涂料除外）、五金产品；房地产经纪及咨询；房屋装修及维修；家政保洁服务；水电上门维修；园林绿化工程施工及花草租赁；智能化工程施工；餐饮服务；供热服务、供冷服务；物业管理咨询服务；会议会展服务；设计、制作、代理、发布国内广告业务。
35,36.0,禹洲集团控股有限公司,在营,-,-,港元,2008-04-23,-,-,-,-,-,-,-,-,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.xmyuzhou.com.cn,Cricket Square Hutchins Drive P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands,香港中环皇后大道中99号中环中心58楼5801-02室,曾有债券发行,-
36,37.0,深圳市龙光控股有限公司,在营,沈沛勇,4.43亿,人民币,2008-04-01,2023-10-16,广东省,深圳市,宝安区,9144030067298580XX,85288221,20313038@qq.com,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,colud.logan.com.cn,深圳市宝安区兴华路南侧龙光世纪大厦1栋2002（办公场所）,深圳市宝安区兴华路南侧龙光世纪大厦1栋2002,曾有债券发行,一般经营项目是：实业项目投资咨询；企业管理咨询。，许可经营项目是：
37,38.0,龙湖集团控股有限公司,在营,-,-,港元,2007-12-21,-,-,-,-,-,-,-,-,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.longfor.com,Cricket Square Hutchins Drive P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands,香港中环都爹利街1号15楼,曾有债券发行,-
38,39.0,中山市恒东房地产开发有限公司,在营,梁炬堂,1.01亿,人民币,2007-12-06,2018-08-22,广东省,中山市,-,91442000669819405K,22388866,295450161@qq.com,1,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,中山市横栏镇景帝路4号恒东时代花园14卡,-,曾有债券发行,房地产开发（凭资质证经营）、建筑物租赁、承接室内装饰工程。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓
39,40.0,新疆亚中物业管理服务有限责任公司,在营,丁锦志,500万,人民币,2007-11-29,2022-06-08,新疆,乌鲁木齐市,新市区,91650100666696067P,0991-6681099,897593708@qq.com,78,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,新疆乌鲁木齐高新区(新市区)苏州东街377号美居物流园H座三楼,-,曾有债券发行,物业管理；广告设计、制作、发布；车辆收费；租赁业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
40,41.0,河南宏光正商置业有限公司,在营,陈继国,"5,000万",人民币,2007-10-31,2021-01-28,河南省,郑州市,管城回族区,91410100668850689B,0371-66815299,zensungroup@zensunholdings.com,13,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,郑州市郑东新区商鼎路北、康平路东A号楼11层1104号,郑州市港湾路1号,曾有债券发行,在土地证编号为郑国用（2008）第0309号、郑国用（2012）第XQ1050号、郑政新出[2012]28号、郑政新出[2012]29号、郑政新出[2012]30号、郑政东出（2012）4号、郑政东出（2012）14号的土地上从事房地产开发与销售（上述涉及许可的，凭有效资质经营）。
41,42.0,宝龙地产控股有限公司,在营,-,-,港元,2007-07-18,-,-,-,-,-,-,-,-,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.powerlong.com,P.O. Box 309 Ugland House Grand Cayman KY1-1104 Cayman Islands,香港干诺道中168-200号信德中心西座33楼3303室,曾有债券发行,-
42,43.0,山东安沃达置业有限公司,在营,李波,"5,008万",人民币,2007-04-25,2022-05-20,山东省,淄博市,张店区,913703036613925742,0533-2850036,anwoda@163.com,11,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,张店区南世纪路18甲102,-,曾有债券发行,房地产开发、销售；企业以自有资金对外投资（未经金融监管部门批准，不得从事吸收存款、融资担保、代客理财等金融业务）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
43,44.0,北京合生兴业房地产开发有限公司,在营,隋淼,"3,160万",美元,2006-12-15,2022-12-29,北京市,-,西城区,91110000795950949G,82274007,-,38,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,北京市西城区德外新明胡同东侧(德胜街道),-,曾有债券发行,开发、建设、出租、出售在西城区德胜门外大街煤厂地区的德胜大厦项目规划确定的范围内的房屋；物业管理；机动车公共停车场服务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
44,45.0,碧桂园控股有限公司,在营,-,-,港元,2006-11-10,-,-,-,-,-,-,-,-,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.countrygarden.com.cn,Cricket Square Hutchins Drive P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands,香港中环都爹利街11号律敦治中心帝纳大厦17楼1702室,曾有债券发行,"开发大型住宅项目及销售各类型的单体住宅、连体住宅、洋房、车位及商铺,亦从事建筑、安装、装修及装饰以及物业管理服务。"
